Date,Open,High,Low,Close,Adj Close,Volume
1/30/2012,156.990005,167.410004,153.139999,166.039993,154.048096,40700
2/6/2012,167.399994,167.399994,156.210007,159.990005,148.435059,23400
2/13/2012,161,175.279999,160.600006,174.339996,161.748642,252705
2/20/2012,174.339996,174.899994,166,169.139999,156.924225,178135
2/27/2012,172,172,166.600006,170.139999,157.85199,130850
3/5/2012,172,172.399994,166,169.550003,157.304596,34285
3/12/2012,169.050003,170.949997,159.220001,162.970001,151.199829,160750
3/19/2012,166.050003,171.690002,164.039993,166.229996,154.224365,219980
3/26/2012,164.320007,170.199997,164.320007,167.860001,155.736633,269655
4/2/2012,169.399994,169.800003,165.419998,166.869995,154.818146,67145
4/9/2012,168,168.990005,148,151.600006,140.651001,194965
4/16/2012,153.539993,170.020004,152.399994,165.899994,153.918198,169970
4/23/2012,166.5,167.990005,160.020004,160.779999,149.167999,500575
4/30/2012,165,171.600006,162.399994,168.350006,156.191284,221400
5/7/2012,168,172.059998,158.240005,164.649994,152.758469,196245
5/14/2012,161,167.380005,160.800003,161.639999,149.965851,158065
5/21/2012,162.009995,174,161.270004,169,156.794312,207340
5/28/2012,172,174.800003,162.729996,170.899994,158.557083,237635
6/4/2012,170,174.779999,165,174.350006,161.757904,175825
6/11/2012,174,180.100006,168.199997,179.300003,166.350433,202690
6/18/2012,178,189.910004,174,185.710007,172.29747,610265
6/25/2012,186,189.600006,176.009995,184.75,171.406799,280250
7/2/2012,184.800003,188.600006,180.300003,184.789993,171.443909,483225
7/9/2012,185.800003,188,182.570007,183.679993,170.414063,188445
7/16/2012,185.100006,187.800003,183.029999,184.270004,170.961487,186555
7/23/2012,186.009995,188.380005,180.399994,186.070007,172.63147,260530
7/30/2012,185.699997,189.600006,178.410004,185.800003,172.380966,516935
8/6/2012,186.100006,196.990005,185.039993,194.690002,181.602615,249280
8/13/2012,194.789993,204.960007,193.240005,195.039993,181.929047,349665
8/20/2012,195.039993,205,194.199997,204,190.286758,158590
8/27/2012,200.199997,203.789993,194.220001,196.160004,182.97377,210630
9/3/2012,196.009995,201.800003,188.419998,197.429993,184.158371,192185
9/10/2012,197,199.399994,194,195.330002,182.19957,151200
9/17/2012,193.199997,198.990005,193,196.119995,182.936447,145140
9/24/2012,197,201,192,196.220001,183.029755,169130
10/1/2012,195,201.990005,193,197.199997,183.943832,200645
10/8/2012,195.210007,201.860001,195.050003,197.050003,183.80394,161080
10/15/2012,195.100006,200.399994,192,198.639999,185.287064,183425
10/22/2012,199.979996,201.399994,195.039993,197.990005,184.68074,97390
10/29/2012,199.990005,200.789993,194.119995,198.800003,185.43631,145050
11/5/2012,198,199.800003,194,195.289993,182.162247,153095
11/12/2012,196.830002,203.970001,190.289993,192.860001,179.895599,146305
11/19/2012,193.600006,195.380005,186.020004,191.559998,179.609573,180980
